0 , 0  , 000 , 000 , 
1 , -1  ,  , THREAD START , 
1 , 1  , NA , DocProcesser START , 
1 , 2  , NA , DocProcesser START , 
1 , 3  , NA , DocProcesser START , 
1 , 4  , NA , DocProcesser START , 
1 , 5  , NA , DocProcesser START , 
1 , 6  , NA , DocProcesser START , 
1 , 7  , NA , DocProcesser START , 
1 , 8  , NA , DocProcesser START , 
1 , 9  , NA , DocProcesser START , 
1 , 10  , NA , DocProcesser START , 
2 , -1  ,  , THREAD START , 
2 , 1  , NA , DocProcesser START , 
2 , 2  , NA , DocProcesser START , 
2 , 3  , NA , DocProcesser START , 
2 , 4  , NA , DocProcesser START , 
2 , 5  , NA , DocProcesser START , 
2 , 6  , NA , DocProcesser START , 
2 , 7  , NA , DocProcesser START , 
2 , 8  , NA , DocProcesser START , 
2 , 9  , NA , DocProcesser START , 
2 , 10  , NA , DocProcesser START , 
3 , -1  ,  , THREAD START , 
3 , 1  , NA , DocProcesser START , 
3 , 2  , NA , DocProcesser START , 
3 , 3  , NA , DocProcesser START , 
3 , 4  , NA , DocProcesser START , 
3 , 5  , NA , DocProcesser START , 
3 , 6  , NA , DocProcesser START , 
3 , 7  , NA , DocProcesser START , 
3 , 8  , NA , DocProcesser START , 
3 , 9  , NA , DocProcesser START , 
3 , 10  , NA , DocProcesser START , 
4 , -1  ,  , THREAD START , 
4 , 1  , NA , DocProcesser START , 
4 , 2  , NA , DocProcesser START , 
4 , 3  , NA , DocProcesser START , 
4 , 4  , NA , DocProcesser START , 
4 , 5  , NA , DocProcesser START , 
4 , 6  , NA , DocProcesser START , 
4 , 7  , NA , DocProcesser START , 
4 , 8  , NA , DocProcesser START , 
4 , 9  , NA , DocProcesser START , 
4 , 10  , NA , DocProcesser START , 
5 , -1  ,  , THREAD START , 
5 , 1  , NA , DocProcesser START , 
5 , 2  , NA , DocProcesser START , 
5 , 3  , NA , DocProcesser START , 
5 , 4  , NA , DocProcesser START , 
5 , 5  , NA , DocProcesser START , 
5 , 6  , NA , DocProcesser START , 
5 , 7  , NA , DocProcesser START , 
5 , 8  , NA , DocProcesser START , 
5 , 9  , NA , DocProcesser START , 
5 , 10  , NA , DocProcesser START , 
6 , -1  ,  , THREAD START , 
6 , 1  , NA , DocProcesser START , 
6 , 2  , NA , DocProcesser START , 
6 , 3  , NA , DocProcesser START , 
6 , 4  , NA , DocProcesser START , 
6 , 5  , NA , DocProcesser START , 
6 , 6  , NA , DocProcesser START , 
6 , 7  , NA , DocProcesser START , 
6 , 8  , NA , DocProcesser START , 
6 , 9  , NA , DocProcesser START , 
6 , 10  , NA , DocProcesser START , 
7 , -1  ,  , THREAD START , 
7 , 1  , NA , DocProcesser START , 
7 , 2  , NA , DocProcesser START , 
7 , 3  , NA , DocProcesser START , 
7 , 4  , NA , DocProcesser START , 
7 , 5  , NA , DocProcesser START , 
7 , 6  , NA , DocProcesser START , 
7 , 7  , NA , DocProcesser START , 
7 , 8  , NA , DocProcesser START , 
7 , 9  , NA , DocProcesser START , 
7 , 10  , NA , DocProcesser START , 
8 , -1  ,  , THREAD START , 
8 , 1  , NA , DocProcesser START , 
8 , 2  , NA , DocProcesser START , 
8 , 3  , NA , DocProcesser START , 
8 , 4  , NA , DocProcesser START , 
8 , 5  , NA , DocProcesser START , 
8 , 6  , NA , DocProcesser START , 
8 , 7  , NA , DocProcesser START , 
8 , 8  , NA , DocProcesser START , 
8 , 9  , NA , DocProcesser START , 
8 , 10  , NA , DocProcesser START , 
9 , -1  ,  , THREAD START , 
9 , 1  , NA , DocProcesser START , 
9 , 2  , NA , DocProcesser START , 
9 , 3  , NA , DocProcesser START , 
9 , 4  , NA , DocProcesser START , 
9 , 5  , NA , DocProcesser START , 
9 , 6  , NA , DocProcesser START , 
9 , 7  , NA , DocProcesser START , 
9 , 8  , NA , DocProcesser START , 
9 , 9  , NA , DocProcesser START , 
9 , 10  , NA , DocProcesser START , 
10 , -1  ,  , THREAD START , 
10 , 1  , NA , DocProcesser START , 
10 , 2  , NA , DocProcesser START , 
10 , 3  , NA , DocProcesser START , 
10 , 4  , NA , DocProcesser START , 
10 , 5  , NA , DocProcesser START , 
10 , 6  , NA , DocProcesser START , 
10 , 7  , NA , DocProcesser START , 
10 , 8  , NA , DocProcesser START , 
10 , 9  , NA , DocProcesser START , 
